frame_no,ts,src_ip,dst_ip,src_mac,dst_mac,protocol,transport,src_port,dst_port,length,tcp_syn,tcp_ack,tcp_fin,tcp_rst,dns_qry_name,dns_qry_type,dns_response,dns_rcode,http_method,http_host,http_uri,arp_src_ip,arp_src_mac,arp_opcode,info
679,1700000121.28,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,470,58,1,0,0,0,,,,,,,,,,,SYN
680,1700000121.282,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,470,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
681,1700000121.29,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,473,58,1,0,0,0,,,,,,,,,,,SYN
682,1700000121.292,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,473,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
683,1700000121.3,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,559,58,1,0,0,0,,,,,,,,,,,SYN
684,1700000121.302,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,559,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
685,1700000121.31,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,895,58,1,0,0,0,,,,,,,,,,,SYN
686,1700000121.312,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,895,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
687,1700000121.32,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,40,58,1,0,0,0,,,,,,,,,,,SYN
688,1700000121.322,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,40,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
689,1700000121.33,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,826,58,1,0,0,0,,,,,,,,,,,SYN
690,1700000121.332,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,826,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
691,1700000121.34,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,521,58,1,0,0,0,,,,,,,,,,,SYN
692,1700000121.342,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,521,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
693,1700000121.35,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,282,58,1,0,0,0,,,,,,,,,,,SYN
694,1700000121.352,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,282,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
695,1700000121.36,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,381,58,1,0,0,0,,,,,,,,,,,SYN
696,1700000121.362,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,381,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
697,1700000121.37,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,73,58,1,0,0,0,,,,,,,,,,,SYN
698,1700000121.372,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,73,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
699,1700000121.38,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,345,58,1,0,0,0,,,,,,,,,,,SYN
700,1700000121.39,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,548,58,1,0,0,0,,,,,,,,,,,SYN
701,1700000121.4,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,207,58,1,0,0,0,,,,,,,,,,,SYN
702,1700000121.4020002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,207,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
703,1700000121.41,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,66,58,1,0,0,0,,,,,,,,,,,SYN
704,1700000121.4120002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,66,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
705,1700000121.42,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,25,58,1,0,0,0,,,,,,,,,,,SYN
706,1700000121.4220002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,25,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
707,1700000121.43,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,763,58,1,0,0,0,,,,,,,,,,,SYN
708,1700000121.4320002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,763,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
709,1700000121.44,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,746,58,1,0,0,0,,,,,,,,,,,SYN
710,1700000121.4420002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,746,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
711,1700000121.45,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,295,58,1,0,0,0,,,,,,,,,,,SYN
712,1700000121.4520001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,295,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
713,1700000121.46,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,907,58,1,0,0,0,,,,,,,,,,,SYN
714,1700000121.4620001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,907,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
715,1700000121.47,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,583,58,1,0,0,0,,,,,,,,,,,SYN
716,1700000121.4720001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,583,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
717,1700000121.48,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,491,58,1,0,0,0,,,,,,,,,,,SYN
718,1700000121.482,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,491,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
719,1700000121.49,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,817,58,1,0,0,0,,,,,,,,,,,SYN
720,1700000121.492,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,817,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
721,1700000121.5,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,302,58,1,0,0,0,,,,,,,,,,,SYN
722,1700000121.502,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,302,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
723,1700000121.51,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,860,58,1,0,0,0,,,,,,,,,,,SYN
724,1700000121.512,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,860,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
725,1700000121.52,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,849,58,1,0,0,0,,,,,,,,,,,SYN
726,1700000121.522,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,849,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
727,1700000121.53,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,445,58,1,0,0,0,,,,,,,,,,,SYN
728,1700000121.532,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,445,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
729,1700000121.54,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,411,58,1,0,0,0,,,,,,,,,,,SYN
730,1700000121.55,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,778,58,1,0,0,0,,,,,,,,,,,SYN
731,1700000121.552,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,778,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
732,1700000121.56,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,940,58,1,0,0,0,,,,,,,,,,,SYN
733,1700000121.562,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,940,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
734,1700000121.57,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,864,58,1,0,0,0,,,,,,,,,,,SYN
735,1700000121.572,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,864,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
736,1700000121.58,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,718,58,1,0,0,0,,,,,,,,,,,SYN
737,1700000121.582,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,718,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
738,1700000121.59,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,740,58,1,0,0,0,,,,,,,,,,,SYN
739,1700000121.592,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,740,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
740,1700000121.6,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,716,58,1,0,0,0,,,,,,,,,,,SYN
741,1700000121.602,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,716,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
742,1700000121.609586,93.184.182.173,10.0.0.104,00:11:22:33:44:01,02:80:5e:2e:ed:c8,TLS,TCP,443,56726,618,0,1,0,0,,,,,,,,,,,Application Data
743,1700000121.61,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,582,58,1,0,0,0,,,,,,,,,,,SYN
744,1700000121.612,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,582,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
745,1700000121.62,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,280,58,1,0,0,0,,,,,,,,,,,SYN
746,1700000121.622,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,280,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
747,1700000121.63,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,488,58,1,0,0,0,,,,,,,,,,,SYN
748,1700000121.6320002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,488,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
749,1700000121.64,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,956,58,1,0,0,0,,,,,,,,,,,SYN
750,1700000121.6420002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,956,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
751,1700000121.65,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,356,58,1,0,0,0,,,,,,,,,,,SYN
752,1700000121.6520002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,356,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
753,1700000121.66,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,54,58,1,0,0,0,,,,,,,,,,,SYN
754,1700000121.6620002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,54,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
755,1700000121.67,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,344,58,1,0,0,0,,,,,,,,,,,SYN
756,1700000121.6720002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,344,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
757,1700000121.68,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,917,58,1,0,0,0,,,,,,,,,,,SYN
758,1700000121.6820002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,917,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
759,1700000121.69,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,152,58,1,0,0,0,,,,,,,,,,,SYN
760,1700000121.6920002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,152,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
761,1700000121.7,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,350,58,1,0,0,0,,,,,,,,,,,SYN
762,1700000121.7020001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,350,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
763,1700000121.71,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,266,58,1,0,0,0,,,,,,,,,,,SYN
764,1700000121.7120001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,266,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
765,1700000121.72,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,372,58,1,0,0,0,,,,,,,,,,,SYN
766,1700000121.7220001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,372,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
767,1700000121.73,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,98,58,1,0,0,0,,,,,,,,,,,SYN
768,1700000121.74,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,714,58,1,0,0,0,,,,,,,,,,,SYN
769,1700000121.742,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,714,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
770,1700000121.75,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,236,58,1,0,0,0,,,,,,,,,,,SYN
771,1700000121.752,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,236,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
772,1700000121.76,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,638,58,1,0,0,0,,,,,,,,,,,SYN
773,1700000121.762,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,638,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
774,1700000121.77,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,455,58,1,0,0,0,,,,,,,,,,,SYN
775,1700000121.78,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,96,58,1,0,0,0,,,,,,,,,,,SYN
776,1700000121.782,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,96,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
777,1700000121.79,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,574,58,1,0,0,0,,,,,,,,,,,SYN
778,1700000121.792,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,574,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
779,1700000121.8,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,537,58,1,0,0,0,,,,,,,,,,,SYN
780,1700000121.802,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,537,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
781,1700000121.81,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,61,58,1,0,0,0,,,,,,,,,,,SYN
782,1700000121.812,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,61,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
783,1700000121.82,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,83,58,1,0,0,0,,,,,,,,,,,SYN
784,1700000121.822,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,83,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
785,1700000121.83,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,502,58,1,0,0,0,,,,,,,,,,,SYN
786,1700000121.832,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,502,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
787,1700000121.84,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,799,58,1,0,0,0,,,,,,,,,,,SYN
788,1700000121.842,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,799,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
789,1700000121.85,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,708,58,1,0,0,0,,,,,,,,,,,SYN
790,1700000121.852,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,708,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
791,1700000121.86,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,530,58,1,0,0,0,,,,,,,,,,,SYN
792,1700000121.862,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,530,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
793,1700000121.87,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,1012,58,1,0,0,0,,,,,,,,,,,SYN
794,1700000121.872,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,1012,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
795,1700000121.88,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,89,58,1,0,0,0,,,,,,,,,,,SYN
796,1700000121.8820002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,89,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
797,1700000121.889745,10.0.0.103,10.0.0.1,02:c9:83:20:d6:73,00:11:22:33:44:01,DNS,UDP,50510,53,80,,,,,amazon.com,1,0,,,,,,,,Standard query A amazon.com
798,1700000121.89,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,766,58,1,0,0,0,,,,,,,,,,,SYN
799,1700000121.8920002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,766,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
800,1700000121.9,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,827,58,1,0,0,0,,,,,,,,,,,SYN
801,1700000121.9020002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,827,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
802,1700000121.909745,10.0.0.1,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,DNS,UDP,53,50510,96,,,,,amazon.com,1,1,0,,,,,,,Standard query response A amazon.com
803,1700000121.91,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,1019,58,1,0,0,0,,,,,,,,,,,SYN
804,1700000121.9120002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,1019,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
805,1700000121.92,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,833,58,1,0,0,0,,,,,,,,,,,SYN
806,1700000121.9220002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,833,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
807,1700000121.93,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,267,58,1,0,0,0,,,,,,,,,,,SYN
808,1700000121.939745,10.0.0.103,93.184.81.222,02:c9:83:20:d6:73,00:11:22:33:44:01,TCP,TCP,50510,443,74,1,0,0,0,,,,,,,,,,,SYN
809,1700000121.94,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,741,58,1,0,0,0,,,,,,,,,,,SYN
810,1700000121.9420002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,741,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
811,1700000121.95,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,414,58,1,0,0,0,,,,,,,,,,,SYN
812,1700000121.9520001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,414,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
813,1700000121.96,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,262,58,1,0,0,0,,,,,,,,,,,SYN
814,1700000121.9620001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,262,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
815,1700000121.969745,93.184.81.222,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TCP,TCP,443,50510,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
816,1700000121.97,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,720,58,1,0,0,0,,,,,,,,,,,SYN
817,1700000121.9720001,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,720,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
818,1700000121.98,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,573,58,1,0,0,0,,,,,,,,,,,SYN
819,1700000121.982,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,573,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
820,1700000121.99,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,65,58,1,0,0,0,,,,,,,,,,,SYN
821,1700000121.992,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,65,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
822,1700000122.0,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,39,58,1,0,0,0,,,,,,,,,,,SYN
823,1700000122.0,10.0.0.1,10.0.0.255,de:ad:be:ef:00:99,ff:ff:ff:ff:ff:ff,ARP,ARP,,,42,,,,,,,,,,,,10.0.0.1,de:ad:be:ef:00:99,2,10.0.0.1 is at de:ad:be:ef:00:99 (gratuitous)
824,1700000122.002,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,39,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
825,1700000122.01,10.0.0.66,10.0.0.10,02:ac:18:f6:b6:0c,00:11:22:33:44:01,TCP,TCP,44444,996,58,1,0,0,0,,,,,,,,,,,SYN
826,1700000122.012,10.0.0.10,10.0.0.66,00:11:22:33:44:01,02:ac:18:f6:b6:0c,TCP,TCP,996,44444,54,0,1,0,1,,,,,,,,,,,"RST, ACK"
